Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
2022,3,13952770,60319700,28715410,55711,23523
2022,2,14683330,59792140,27232850,556243,231609
2022,1,15332400,60734260,22195330,545814,251996
2021,4,16576150,59842400,20722360,523107,252596
2021,3,19506310,58262570,15660480,492415,25019
2021,2,20185870,56417310,14722460,476968,253552
2021,1,21752110,54247820,13629760,434548,250455
2020,4,22139490,53718240,13111990,421554,253036
2020,3,22638890,52593510,11708790,413259,248821
2020,2,22955330,50051150,11067250,376667,247016
2020,1,22994570,49036740,10478170,352333,209145
2019,4,24145750,48838690,9412950,340144,213298
2019,3,29098050,48000910,8522210,338241,264326
2019,2,29904570,46355750,7607940,308027,265328
2019,1,31327890,44354390,6370990,276419,166389
2018,4,33290270,43138310,3880130,264299,178485
2018,3,35214470,42381710,2473660,246181,9387
2018,2,35572160,40381410,2262850,194267,94535
2018,1,35742940,39811290,2174600,1653,9887
2017,4,35843110,38181570,2114250,155775,100554
2017,3,36225750,36702210,1939640,106443,13174
2017,2,37235180,33834340,1807770,85813,56122
2017,1,37088980,32762510,1801460,84813,55746
2016,4,37227940,32106020,1780700,85119,55088
2016,3,37764420,31248550,1698980,81455,543
2016,2,37820850,30352720,1677880,85452,59482
2016,1,37924930,28063590,1643710,8537,58763
2015,4,38030240,28982260,1391870,85726,58668
2015,3,37886960,28402030,1626630,8453,58976
2015,2,37678210,27562940,1508390,82077,59157
2015,1,37561530,26682480,1681880,79098,66045
2014,4,37640380,25362190,1496820,76984,71573
2014,3,37147640,25698680,1554940,85096,70049
2014,2,37088820,24616700,1493630,72405,72148
2014,1,36970660,24073300,1503230,70749,7293
