Año,Trimestre,Ingresos (miles de pesos)
2022,3,670559300
2022,2,603357240
2022,1,555899970
2021,4,454678870
2021,3,429999440
2021,2,382396670
2021,1,366763710
2020,4,335397030
2020,3,319974450
2020,2,321024760
2020,1,299462160
2019,4,241692510
2019,3,216527480
2019,2,207431180
2019,1,202074140
2018,4,166376870
2018,3,154109810
2018,2,143194670
2018,1,131714590
2017,4,112261270
2017,3,100659980
2017,2,96786470
2017,1,87012010
2016,4,74839800
2016,3,69124420
2016,2,65342410
2016,1,59368450
2015,4,53768990
2015,3,51537390
2015,2,47017910
2015,1,48763850
2014,4,39504410
2014,3,34786380
2014,2,32708160
2014,1,29840540
