Año,Trimestre,Mbps (Media de bajada),Ingresos (miles de pesos)
2022,3,62.46,670559300
2022,2,58.44,603357240
2022,1,55.11,555899970
2021,4,52.34,454678870
2021,3,48.46,429999440
2021,2,45.63,382396670
2021,1,43.11,366763710
2020,4,42.36,335397030
2020,3,40.67,319974450
2020,2,38.32,321024760
2020,1,37.52,299462160
2019,4,28.26,241692510
2019,3,24.18,216527480
2019,2,20.33,207431180
2019,1,17.38,202074140
2018,4,15.95,166376870
2018,3,15.36,154109810
2018,2,13.85,143194670
2018,1,13.22,131714590
2017,4,12.01,112261270
2017,3,8.34,100659980
2017,2,7.16,96786470
2017,1,6.62,87012010
2016,4,6.34,74839800
2016,3,5.94,69124420
2016,2,5.42,65342410
2016,1,5.08,59368450
2015,4,4.99,53768990
2015,3,4.79,51537390
2015,2,4.55,47017910
2015,1,4.35,48763850
2014,4,4.16,39504410
2014,3,3.87,34786380
2014,2,3.76,32708160
2014,1,3.62,29840540
